x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0.040686,-0.00022368,-1.555e-20,3.1483e-05,0.0087332,0.0076437,0.0060311,5.6075e-06,-7.2552e-07,1.0533e-06
0,0.042681,-0.00029351,1.4597e-20,3.2609e-05,0.0094554,0.0083921,0.0064748,6.8305e-06,-9.1e-07,1.3384e-06
0,0.044722,-0.00038296,-2.3953e-20,3.3521e-05,0.010302,0.0092312,0.0069912,8.1799e-06,-1.1914e-06,1.6759e-06
0,0.046809,-0.00049387,-3.5787e-21,3.2731e-05,0.011293,0.010177,0.0076128,9.6168e-06,-1.5074e-06,2.0635e-06
0,0.048943,-0.00063601,7.7348e-20,3.1162e-05,0.012454,0.011245,0.0083532,1.0936e-05,-1.8553e-06,2.4969e-06
0,0.051124,-0.00080773,7.5845e-21,2.8445e-05,0.013795,0.012458,0.0092661,1.1947e-05,-2.146e-06,2.965e-06
0,0.053351,-0.0010208,-9.6322e-20,2.3279e-05,0.015354,0.013839,0.010391,1.2303e-05,-2.3173e-06,3.4268e-06
0,0.055624,-0.0012734,3.5815e-20,1.353e-05,0.017167,0.015422,0.011814,1.1465e-05,-2.3577e-06,3.8516e-06
0,0.057943,-0.0015721,-1.5162e-20,1.7122e-06,0.019276,0.017245,0.013595,8.5595e-06,-2.5812e-06,4.142e-06
0,0.060307,-0.001916,-1.2681e-19,-1.1472e-05,0.021718,0.019352,0.015807,2.2708e-06,-2.6658e-06,3.9197e-06
0,0.062718,-0.0022942,2.0059e-19,-1.8249e-05,0.024531,0.021788,0.018498,-9.3832e-06,-1.5405e-06,3.0453e-06
0,0.065174,-0.0026746,-2.5388e-19,-1.246e-05,0.027757,0.024596,0.021743,-2.9383e-05,2.1979e-06,1.3064e-06
0,0.067676,-0.0030342,-8.9673e-20,2.0072e-05,0.031445,0.027817,0.025568,-6.3355e-05,9.8402e-06,-1.2727e-06
0,0.070224,-0.003291,-2.3875e-19,7.0958e-05,0.035645,0.031484,0.03002,-0.00011877,2.2814e-05,-4.6303e-06
0,0.072816,-0.0033167,7.8379e-20,0.00013515,0.040506,0.035602,0.035156,-0.00020845,4.3472e-05,-8.7211e-06
0,0.075454,-0.0028644,1.0955e-19,0.00021719,0.046293,0.04016,0.041036,-0.00035005,7.4675e-05,-1.3319e-05
0,0.078137,-0.0015997,4.461e-19,0.00030172,0.053502,0.045112,0.047725,-0.00057022,0.00011815,-1.7498e-05
0,0.080865,0.0011242,4.5175e-21,0.00038955,0.062874,0.05039,0.055275,-0.00090463,0.00017003,-2.0245e-05
0,0.083637,0.0061735,1.7935e-19,0.00048579,0.075415,0.055928,0.063811,-0.0013982,0.00022422,-2.1591e-05
0,0.086455,0.014769,-1.2965e-19,0.00066734,0.092189,0.061675,0.073378,-0.0021041,0.00028473,-2.2068e-05
0,0.089316,0.028731,-1.2649e-20,0.00084189,0.11426,0.067638,0.084098,-0.0030858,0.00035709,-2.1167e-05
0,0.092223,0.051006,8.9898e-20,0.001001,0.14243,0.073909,0.096067,-0.0043995,0.00043317,-2.0907e-05
0,0.095173,0.08471,2.2571e-19,0.0011228,0.17625,0.080671,0.10937,-0.0060724,0.00049932,-1.7598e-05
0,0.098167,0.13412,4.3817e-19,0.0011914,0.2136,0.088144,0.12407,-0.008094,0.00056628,-1.1714e-05
0,0.10121,0.20438,1.4817e-19,0.00099342,0.24979,0.096354,0.14023,-0.010348,0.00057284,-7.2545e-06
0,0.10429,0.30022,4.0838e-19,0.00056519,0.27528,0.10482,0.15748,-0.012666,0.00047652,-1.0051e-05
0,0.10741,0.41862,7.2732e-19,0.00039687,0.27659,0.11222,0.17345,-0.014626,0.00038787,-3.8347e-06
0,0.11058,0.51539,1.3372e-19,0.00039457,0.27959,0.11735,0.18443,-0.015899,0.00037559,-1.6964e-07
0,0.1138,0.58996,1.2459e-18,0.00043795,0.28104,0.12218,0.1908,-0.016809,0.00040008,5.6294e-07
0,0.11705,0.65092,1.6534e-19,0.00050561,0.28054,0.12681,0.19517,-0.017321,0.00045035,1.8e-06
0,0.12035,0.70206,3.4604e-19,0.0005837,0.27979,0.13113,0.19831,-0.017718,0.00051684,2.7846e-06
0,0.12369,0.74673,4.251e-19,0.00066875,0.27857,0.13498,0.20075,-0.017909,0.0005949,3.8708e-06
0,0.12708,0.7864,-3.7495e-19,0.00076426,0.27766,0.13833,0.20257,-0.018102,0.00068483,4.2449e-06
0,0.13051,0.82247,3.4875e-19,0.00086874,0.2765,0.14117,0.20383,-0.018164,0.00078459,3.9659e-06
0,0.13397,0.85554,3.2933e-19,0.00097922,0.27561,0.14357,0.20461,-0.018265,0.00089545,3.2981e-06
0,0.13749,0.88627,3.3881e-20,0.0010955,0.27448,0.14556,0.20495,-0.018268,0.0010184,3.7267e-06
0,0.14104,0.91493,-6.0535e-20,0.001211,0.27355,0.14721,0.20494,-0.018321,0.001147,4.2477e-06
0,0.14464,0.94189,1.9154e-19,0.0013187,0.27243,0.14856,0.20461,-0.018293,0.0012701,5.1912e-06
0,0.14827,0.96726,4.8416e-19,0.001418,0.2715,0.14967,0.20405,-0.018321,0.0013893,5.4472e-06
0,0.15195,0.99132,4.7773e-20,0.0015114,0.27041,0.15057,0.20327,-0.018277,0.001506,5.2578e-06
0,0.15567,1.0141,1.3598e-19,0.0016014,0.2695,0.15131,0.20236,-0.018287,0.0016208,4.6013e-06
0,0.15943,1.0358,-6.2799e-19,0.0016884,0.26845,0.1519,0.20133,-0.018228,0.0017329,4.3606e-06
0,0.16324,1.0565,-5.1932e-19,0.0017641,0.26756,0.15237,0.20025,-0.01822,0.0018349,3.8282e-06
0,0.16708,1.0763,9.4407e-19,0.0018234,0.26653,0.15275,0.19915,-0.018147,0.0019226,3.4492e-06
0,0.17096,1.0953,-3.1521e-19,0.001864,0.26564,0.15305,0.19804,-0.018124,0.001995,2.6511e-06
0,0.17489,1.1136,3.3751e-19,0.001884,0.26461,0.15329,0.19691,-0.018042,0.0020507,1.5678e-06
0,0.17885,1.1312,-2.4457e-19,0.0018794,0.26373,0.15349,0.1958,-0.018009,0.0020839,-2.1512e-07
0,0.18286,1.1482,-3.4062e-19,0.0018504,0.26273,0.15364,0.1947,-0.017921,0.0020921,-1.7073e-06
0,0.1869,1.1647,6.6577e-19,0.0017967,0.26187,0.15375,0.19363,-0.01788,0.0020747,-2.6323e-06
0,0.19098,1.1807,1.3259e-19,0.0017203,0.26089,0.15383,0.19257,-0.017785,0.0020322,-2.7274e-06
0,0.19511,1.1962,-4.0748e-19,0.001625,0.26005,0.15389,0.19154,-0.017737,0.0019659,-2.9752e-06
0,0.19927,1.2114,-9.3512e-20,0.0015171,0.2591,0.15391,0.19052,-0.017636,0.0018811,-3.4601e-06
0,0.20347,1.2262,8.1541e-20,0.0013998,0.25829,0.1539,0.18953,-0.017582,0.0017803,-4.2296e-06
0,0.20771,1.2407,8.0344e-19,0.0012783,0.25735,0.15387,0.18855,-0.017477,0.0016701,-4.1681e-06
0,0.21199,1.2548,-4.1493e-19,0.0011609,0.25653,0.15381,0.18759,-0.017417,0.0015613,-3.6553e-06
0,0.21631,1.2687,4.6304e-20,0.0010562,0.2556,0.15373,0.18666,-0.017308,0.0014638,-3.1018e-06
0,0.22066,1.2822,-7.4516e-19,0.0009693,0.25477,0.15362,0.18577,-0.017244,0.0013824,-2.879e-06
0,0.22506,1.2956,-6.3923e-20,0.00090611,0.25383,0.15348,0.18489,-0.017133,0.0013234,-2.2092e-06
0,0.22949,1.3086,-8.904e-19,0.00086656,0.25298,0.15333,0.18404,-0.017065,0.0012885,-1.3606e-06
0,0.23396,1.3214,2.4169e-19,0.00084303,0.25204,0.15315,0.18318,-0.016951,0.001273,-4.8473e-07
0,0.23846,1.3339,6.9502e-19,0.00082546,0.2512,0.15297,0.18232,-0.01688,0.0012656,-1.5165e-07
0,0.243,1.3464,-1.5292e-19,0.00081245,0.25025,0.15278,0.18148,-0.016764,0.0012627,1.5665e-07
0,0.24759,1.3584,-1.1158e-19,0.00080762,0.24939,0.15258,0.18066,-0.016691,0.0012656,6.065e-07
0,0.2522,1.3705,-3.7789e-19,0.00081243,0.24841,0.15237,0.17987,-0.016572,0.0012763,1.1912e-06
0,0.25686,1.3822,-5.2708e-19,0.00082251,0.24752,0.15215,0.1791,-0.016494,0.0012916,1.2552e-06
0,0.26154,1.3939,-3.9041e-20,0.00083524,0.24651,0.15191,0.17834,-0.016372,0.0013087,1.4472e-06
0,0.26627,1.4052,3.9093e-19,0.00084915,0.24557,0.15166,0.17759,-0.01629,0.0013229,1.7371e-06
0,0.27103,1.4166,4.5785e-19,0.00086847,0.24452,0.1514,0.17683,-0.016166,0.001339,2.4555e-06
0,0.27583,1.4276,3.7281e-19,0.00089151,0.24354,0.15113,0.17607,-0.016082,0.0013569,3.0026e-06
0,0.28066,1.4387,-4.6169e-19,0.00091297,0.24245,0.15084,0.1753,-0.015957,0.0013721,3.5706e-06
0,0.28553,1.4494,4.3797e-19,0.00092771,0.2414,0.15054,0.17453,-0.01587,0.0013786,3.828e-06
0,0.29043,1.4602,-4.5785e-19,0.00093669,0.24023,0.15023,0.17377,-0.015742,0.0013785,3.913e-06
0,0.29537,1.4706,1.938e-19,0.00094526,0.23912,0.14992,0.17305,-0.015653,0.0013808,3.7309e-06
0,0.30034,1.4812,6.2342e-20,0.00095986,0.23789,0.14961,0.17234,-0.015523,0.001397,3.6129e-06
0,0.30534,1.4914,1.807e-19,0.00097934,0.23673,0.14929,0.17167,-0.01543,0.0014267,3.7669e-06
0,0.31038,1.5019,3.1193e-19,0.00099464,0.23548,0.14898,0.17102,-0.015297,0.001457,4.0624e-06
0,0.31545,1.512,1.8251e-19,0.00099447,0.23432,0.14866,0.1704,-0.015202,0.0014678,3.5995e-06
0,0.32056,1.5223,-4.5096e-19,0.0009799,0.23308,0.14834,0.16979,-0.015067,0.0014565,2.5257e-06
0,0.3257,1.5324,1.6692e-19,0.00095967,0.23191,0.14802,0.1692,-0.01497,0.0014337,1.6686e-06
0,0.33087,1.5426,-7.1038e-20,0.00094646,0.23066,0.1477,0.16861,-0.014834,0.0014184,2.2257e-06
0,0.33607,1.5526,1.7528e-19,0.00094868,0.22947,0.14738,0.16803,-0.014734,0.001426,3.557e-06
0,0.34131,1.5628,-7.7927e-19,0.00097178,0.2282,0.14704,0.16745,-0.014596,0.0014688,4.6967e-06
0,0.34658,1.5726,-6.7921e-19,0.0010132,0.22702,0.14669,0.16687,-0.014493,0.0015432,5.1251e-06
0,0.35188,1.5828,-2.7387e-19,0.0010677,0.22576,0.14633,0.16628,-0.014354,0.001641,5.1227e-06
0,0.35721,1.5926,-2.4581e-19,0.0011276,0.2246,0.14595,0.16568,-0.014251,0.0017509,4.949e-06
0,0.36258,1.6027,1.6647e-19,0.0011908,0.22337,0.14557,0.16506,-0.014111,0.0018716,4.8358e-06
0,0.36797,1.6124,-9.8566e-20,0.00125,0.22223,0.14518,0.16443,-0.014006,0.0019892,4.4021e-06
0,0.3734,1.6223,-3.9449e-19,0.0013041,0.22102,0.14478,0.16378,-0.013865,0.0020969,3.8134e-06
0,0.37885,1.632,1.3739e-19,0.0013542,0.21988,0.14437,0.16314,-0.013757,0.0021937,3.2124e-06
0,0.38434,1.6418,3.1572e-19,0.0014066,0.21869,0.14395,0.16251,-0.013615,0.0022905,3.086e-06
0,0.38985,1.6514,3.0403e-19,0.001465,0.21758,0.14353,0.16189,-0.013505,0.0023933,3.2136e-06
0,0.3954,1.6612,3.815e-19,0.0015372,0.2164,0.14311,0.16126,-0.013361,0.0025175,3.3349e-06
0,0.40098,1.6707,-3.6434e-19,0.0016255,0.21529,0.14269,0.16064,-0.013249,0.0026691,3.3738e-06
0,0.40658,1.6805,2.636e-19,0.0017306,0.21409,0.14226,0.16,-0.013104,0.0028518,3.6463e-06
