x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0.2,0.038738,-0.6,-4.3501e-05,-0.0004994,-0.00025089,0.2263,0.078778,0.076266,-0.00067954,0.0009153,-0.00096234
0.2,0.086455,-0.6,0.72426,0.0019069,-0.10755,1.5081,0.74763,1.3948,0.81063,0.38513,0.26515
0.2,0.15195,-0.6,1.0744,-5.9968e-05,0.0030304,1.5456,0.90138,1.1195,1.0708,-0.043326,-0.17907
0.2,0.23396,-0.6,1.2949,0.0045264,-0.00028467,1.445,0.82065,0.98984,0.8393,0.11834,-0.027598
0.2,0.33087,-0.6,1.4434,-0.0011274,-0.0048267,1.3994,0.82664,0.9753,0.79782,0.044658,-0.046576
0.2,0.44081,-0.6,1.5794,0.0038201,-0.0031664,1.2567,0.73682,0.86606,0.60427,0.034359,0.022514
0.2,0.56163,-0.6,1.7011,-0.0012231,-0.010314,1.0816,0.71995,0.79358,0.54072,-0.0080901,-0.033844
0.2,0.69098,-0.6,1.8198,-0.0028927,-0.005969,0.9523,0.63209,0.68507,0.37758,0.054737,0.026053
0.2,0.82635,-0.6,1.9092,-0.0029564,-0.0071242,0.75841,0.5778,0.55925,0.24053,0.0055607,0.016392
0.2,0.9651,-0.6,1.9587,9.5215e-05,-0.0010184,0.65947,0.52735,0.48958,0.039672,-0.02782,0.0027171
0.2,1.1045,-0.6,1.9495,0.00065359,-0.00091938,0.68083,0.52057,0.49375,-0.10951,-0.021749,-0.0033767
0.2,1.2419,-0.6,1.8735,0.0035225,-0.0068094,0.84916,0.61183,0.6141,-0.30071,0.017052,0.032342
0.2,1.3746,-0.6,1.7717,0.0044039,-0.0075552,1.0074,0.67314,0.70101,-0.42239,0.073493,0.0054986
0.2,1.5,-0.6,1.6492,-0.00057937,-0.0059804,1.1391,0.72797,0.8266,-0.54501,-0.0099718,-0.0085563
0.2,1.6157,-0.6,1.5183,-0.00099747,-0.003806,1.3166,0.79387,0.90892,-0.68117,0.1054,0.0074198
0.2,1.7193,-0.6,1.3798,0.0012118,0.0038444,1.4116,0.83883,1.0194,-0.87675,-0.011177,-0.013499
0.2,1.809,-0.6,1.2034,-0.004529,-0.0073208,1.5144,0.85402,1.0481,-0.87647,0.088547,-0.082769
0.2,1.8829,-0.6,0.95668,-0.002744,-0.011438,1.5119,0.8939,1.2117,-0.97473,0.028015,-0.070837
0.2,1.9397,-0.6,0.14334,-0.02786,-0.011205,1.6736,0.45939,0.76903,0.012416,-0.035874,-0.11676
0.2,1.9781,-0.6,0.00018027,0.0002777,-0.00033686,0.050064,0.036696,0.055925,0.00010851,-0.00018275,-0.00010553
0.2,1.9976,-0.6,0.00014539,2.1751e-05,-0.00025062,0.034134,0.002309,0.037281,-1.0811e-06,-0.00018265,3.2175e-06
0.3,0,-0.6,2.5794e-15,-2.973e-18,5.8412e-17,2.1425e-13,7.912e-16,1.0316e-14,-3.7751e-30,-1.0892e-28,2.6424e-31
0.3,0.0097319,-0.6,-0.0010484,-0.00012369,0.00042945,0.089703,0.02404,0.055526,0.0013142,0.0015888,0.00025502
0.3,0.038738,-0.6,-0.027809,-0.020143,0.044113,0.60096,0.43711,0.57033,0.24081,-0.12463,-0.039803
0.3,0.086455,-0.6,0.70972,0.056157,-0.035197,1.6522,0.86882,1.1864,1.0153,0.39782,-0.082835
0.3,0.15195,-0.6,1.0711,0.01692,0.0064111,1.563,0.89766,1.0883,1.0972,-0.0076575,-0.081428
0.3,0.23396,-0.6,1.2867,0.0012441,-0.0019578,1.5158,0.85008,1.0489,0.98662,0.11291,0.017026
0.3,0.33087,-0.6,1.4406,0.00017173,-0.0020625,1.3921,0.84068,0.96585,0.90033,0.053682,-0.0013633
0.3,0.44081,-0.6,1.5734,-0.0042134,-0.006196,1.2573,0.7863,0.87976,0.7079,-0.009875,-0.044469
