x,y,c,U,V,urms,vrms,uv
0.3,0.4408071,0,1.573373,-0.004213432,1.257316,0.7862981,-0.7079023
0.3,0.5616289,0,1.703465,-0.004215339,1.065505,0.7299622,-0.552373
0.3,0.690983,0,1.821024,-0.003889336,0.9226999,0.6374925,-0.3631685
0.3,0.8263518,0,1.912894,-0.002395192,0.7594594,0.5718847,-0.2000989
0.3,0.9651005,0,1.959184,-0.000781114,0.645666,0.5049106,-0.04468808
0.3,1.104528,0,1.946988,0.0004761529,0.6939357,0.5354891,0.1381781
0.3,1.241922,0,1.871557,0.003336778,0.8557358,0.6006955,0.3100501
0.3,1.374607,0,1.771432,0.008127735,0.9610065,0.6870284,0.4528992
0.3,1.5,0,1.644791,0.001779831,1.150767,0.7389208,0.6377853
0.3,1.615661,0,1.510462,0.004195227,1.313643,0.8031385,0.756875
0.3,1.71934,0,1.378618,-0.001174676,1.437798,0.8496326,0.856979
0.3,1.809017,0,1.1976,-0.005405612,1.543631,0.8940916,1.069176
0.3,1.882948,0,0.953729,-0.03241948,1.557448,0.8815286,0.9618893
0.3,1.939693,0,0.3577617,-0.04282295,1.539952,0.8308205,1.179806
0.3,1.978148,0,-0.001331788,0.0002929661,0.1193062,0.08913652,0.00523354
0.3,1.997564,0,-0.0008241292,1.396796e-05,0.06947122,0.004319805,0.0001823265
0.4,0,0,2.550228e-15,4.351685e-18,2.140475e-13,7.943035e-16,-5.547452e-30
0.4,0.009731931,0,-0.0003943855,2.531394e-05,0.08976165,0.03256093,0.001064459
0.4,0.0387383,0,0.1033155,0.002276915,0.939038,0.5156607,-0.406857
0.4,0.08645454,0,0.6842007,0.02677917,1.707161,0.8760073,-1.271511
0.4,0.1519519,0,1.054982,0.005029228,1.586927,0.8741096,-0.9641079
0.4,0.2339556,0,1.280986,0.0003799625,1.496898,0.8528661,-0.9798013
0.4,0.3308694,0,1.434978,-0.003047924,1.384424,0.797522,-0.8318891
0.4,0.4408071,0,1.572329,-0.005530199,1.26686,0.7979604,-0.7541699
0.4,0.5616289,0,1.701835,-0.002569111,1.084855,0.7309641,-0.510011
0.4,0.690983,0,1.82098,-0.001912122,0.9496372,0.6535606,-0.4109432
0.4,0.8263518,0,1.915645,-0.001091647,0.755012,0.5843773,-0.2190965
0.4,0.9651005,0,1.960044,-0.0001102907,0.6670478,0.5273577,-0.04980551
0.4,1.104528,0,1.945617,-0.0005629771,0.7040049,0.5263305,0.1185831
0.4,1.241922,0,1.876549,-0.0004547019,0.819084,0.5936797,0.2966266
0.4,1.374607,0,1.771669,0.001990917,0.9987292,0.6959996,0.4395904
0.4,1.5,0,1.64564,0.002659251,1.153862,0.7702194,0.6183608
0.4,1.615661,0,1.507053,0.003160802,1.314511,0.8020193,0.7404922
0.4,1.71934,0,1.374276,-0.001285416,1.420995,0.8206491,0.8705337
0.4,1.809017,0,1.194829,-0.00205164,1.566538,0.8729151,1.009308
0.4,1.882948,0,0.9115387,-0.01487344,1.633114,0.8453028,0.9770117
0.4,1.939693,0,0.4658984,-0.01250112,1.62474,0.8469322,1.188228
0.4,1.978148,0,-0.0002066546,9.749185e-05,0.1551725,0.1316467,-0.003020389
0.4,1.997564,0,-0.0002646706,-1.10284e-06,0.06918143,0.005953966,-0.000125322
0.5,0,0,2.603212e-15,-8.676834e-18,2.136758e-13,8.142561e-16,1.482554e-30
0.5,0.009731931,0,-0.0001013543,-0.0001712275,0.06629149,0.03613411,-0.0002258519
0.5,0.0387383,0,0.04082729,-0.02204529,0.8025487,0.3505431,-0.1984314
0.5,0.08645454,0,0.7034828,-0.0577663,1.5378,0.9479117,-1.155813
0.5,0.1519519,0,1.056218,-0.01215402,1.652685,0.8536848,-1.209703
0.5,0.2339556,0,1.285298,-0.002926932,1.496995,0.8664564,-0.9768735
0.5,0.3308694,0,1.440288,-0.002911077,1.390874,0.8112216,-0.8193152
0.5,0.4408071,0,1.574619,-0.004030156,1.249588,0.7770946,-0.7369554
0.5,0.5616289,0,1.699209,-0.003930068,1.086863,0.7207068,-0.5983679
0.5,0.690983,0,1.819854,0.003187667,0.937767,0.6473936,-0.4114601
0.5,0.8263518,0,1.91515,0.002155725,0.7627589,0.5678427,-0.2223472
0.5,0.9651005,0,1.955955,-0.0009608115,0.7098706,0.5232225,-0.07623579
0.5,1.104528,0,1.948273,0.002150911,0.7052078,0.549223,0.1578251
0.5,1.241922,0,1.873478,-0.002184828,0.8410918,0.5972152,0.2765548
0.5,1.374607,0,1.770011,0.0009662408,1.008003,0.6885103,0.5039925
0.5,1.5,0,1.645599,0.002188824,1.144336,0.7510947,0.6760012
0.5,1.615661,0,1.508729,0.004004649,1.311896,0.8077726,0.8724857
0.5,1.71934,0,1.374304,0.003337471,1.415044,0.822915,0.8740532
0.5,1.809017,0,1.195856,0.005222321,1.555819,0.8867027,1.095905
0.5,1.882948,0,0.9116976,0.02320468,1.665906,0.9098282,1.375896
0.5,1.939693,0,0.4476207,0.1051083,1.487456,0.9281848,0.2239107
0.5,1.978148,0,-0.0002433373,0.0008568729,0.08005623,0.1487431,0.0030014
0.5,1.997564,0,-5.691965e-05,3.497553e-05,0.05298222,0.006575156,4.487355e-05
0.6,0,0,2.584184e-15,5.107713e-19,2.140348e-13,8.017374e-16,-3.083768e-31
0.6,0.009731931,0,0.0005894975,0.0001160803,0.0529698,0.01428674,-0.0001951602
0.6,0.0387383,0,0.001495544,0.0004939573,0.2312979,0.1018883,-0.001013394
0.6,0.08645454,0,0.7162211,-0.01532636,1.587881,0.8020777,-0.7092138
0.6,0.1519519,0,1.05734,-0.02149828,1.581948,0.9238697,-1.022616
0.6,0.2339556,0,1.284519,-0.008575634,1.506721,0.8653717,-1.013057
0.6,0.3308694,0,1.447491,-0.00141262,1.357364,0.8218376,-0.8274624
0.6,0.4408071,0,1.577549,-0.001112094,1.235975,0.7621723,-0.7004933
0.6,0.5616289,0,1.699835,-0.004654246,1.075931,0.7275726,-0.5635007
0.6,0.690983,0,1.82368,0.001744984,0.9158455,0.6513033,-0.3890491
0.6,0.8263518,0,1.913286,0.001044086,0.7908149,0.5487009,-0.2227046
0.6,0.9651005,0,1.953631,8.495651e-05,0.7024688,0.5163484,-0.06981274
0.6,1.104528,0,1.944005,0.0001126711,0.7016375,0.5321071,0.1359083
0.6,1.241922,0,1.874896,-0.001229591,0.8387726,0.5817977,0.2908199
0.6,1.374607,0,1.77048,0.002049441,1.017972,0.703352,0.5115018
0.6,1.5,0,1.648998,0.003884226,1.139017,0.7338162,0.5965139
0.6,1.615661,0,1.511574,0.00182115,1.316979,0.7872873,0.7655493
0.6,1.71934,0,1.381879,0.006402228,1.445862,0.8693421,0.9553901
0.6,1.809017,0,1.199322,0.01251795,1.529645,0.8570396,0.9364555
0.6,1.882948,0,0.9222161,0.01912303,1.611075,0.9026649,1.097008
0.6,1.939693,0,0.2907667,-0.003332506,1.320005,0.527241,0.4966045
0.6,1.978148,0,0.0008509236,-0.0002923941,0.06642002,0.04334849,0.0007131867
0.6,1.997564,0,0.0004502908,-2.307926e-05,0.04178712,0.002672511,2.879062e-05
0.7,0,0,2.537302e-15,-1.258438e-18,2.142663e-13,7.898185e-16,7.608854e-30
0.7,0.009731931,0,0.000105303,-4.721248e-05,0.03983179,0.01126611,-0.0001126912
0.7,0.0387383,0,0.0002143049,-0.0003977276,0.2197731,0.07908457,-0.001305034
0.7,0.08645454,0,0.6123933,-0.05681031,1.957245,0.6901168,-1.00986
0.7,0.1519519,0,1.072523,-0.02727394,1.54673,0.913523,-1.137291
0.7,0.2339556,0,1.289642,-0.01589682,1.547234,0.8694495,-1.086897
0.7,0.3308694,0,1.450132,-0.006153035,1.376856,0.8344101,-0.8441423
