x,y,U,V,urms,vrms,uv
0.05,1.9903,0.00010836,-2.4699e-05,0.048564,0.024834,0.00012389
0.05,1.9976,9.8957e-05,-5.2035e-06,0.038397,0.0040896,6.0767e-06
0.05,2,1.0437e-06,1.4998e-09,0.00064258,4.5367e-07,4.1103e-12
0.1,0,2.6604e-15,-8.3444e-19,2.1393e-13,7.9849e-16,-5.4137e-30
0.1,0.0024359,0.00033573,-4.9627e-06,0.03585,0.001905,-2.1444e-05
0.1,0.0097319,0.00047604,-3.8916e-05,0.049285,0.013825,-0.00021367
0.1,0.021852,0.00055699,-8.4451e-05,0.057455,0.037824,-0.00051249
0.1,0.038738,0.00084258,-0.00027401,0.22574,0.092588,-0.00086991
0.1,0.060307,0.18023,-0.04738,1.4336,0.53865,-0.81013
0.1,0.086455,0.69438,-0.0067487,1.5418,0.81073,-1.1099
0.1,0.11705,0.92931,-0.001,1.574,0.872,-1.0503
0.1,0.15195,1.0721,-0.0038382,1.4941,0.88553,-1.0042
0.1,0.19098,1.1942,-0.0067608,1.4923,0.88432,-0.85031
0.1,0.23396,1.2978,-0.0040894,1.4333,0.86211,-0.75102
0.1,0.28066,1.3727,-0.0012571,1.3971,0.81351,-0.72935
0.1,0.33087,1.4434,-0.0032798,1.3542,0.80953,-0.73791
0.1,0.38434,1.5156,0.00042092,1.3266,0.80697,-0.74868
0.1,0.44081,1.5812,0.0020462,1.2592,0.81258,-0.68503
0.1,0.5,1.6447,0.0034897,1.177,0.76804,-0.63989
0.1,0.56163,1.7092,0.0039546,1.0625,0.69496,-0.45844
0.1,0.62539,1.7659,0.0033162,1.046,0.64828,-0.35151
0.1,0.69098,1.818,0.0012979,0.97156,0.60499,-0.36485
0.1,0.75808,1.8695,-0.0011869,0.87434,0.59468,-0.33488
0.1,0.82635,1.9133,0.0010927,0.75691,0.55405,-0.20933
0.1,0.89547,1.9446,0.0012496,0.6843,0.55314,-0.1277
0.1,0.9651,1.9608,-0.0012934,0.6481,0.56347,-0.052034
0.1,1.0349,1.9618,-0.0010878,0.64965,0.56437,0.047168
0.1,1.1045,1.947,0.00099598,0.6824,0.55612,0.11696
0.1,1.1736,1.9173,0.00094581,0.75209,0.55318,0.20275
0.1,1.2419,1.8742,-0.0013719,0.86351,0.59198,0.32837
0.1,1.309,1.8235,0.00089031,0.9604,0.60364,0.36225
0.1,1.3746,1.7714,0.0029895,1.0421,0.6436,0.3439
0.1,1.4384,1.7158,0.003898,1.0554,0.69119,0.45834
0.1,1.5,1.6509,0.0036579,1.1665,0.75936,0.61319
0.1,1.5592,1.587,0.0020262,1.2537,0.81046,0.68862
0.1,1.6157,1.5219,0.00083417,1.3207,0.80602,0.74706
0.1,1.6691,1.45,-0.0035487,1.3515,0.80859,0.74386
0.1,1.7193,1.3789,-0.001047,1.3941,0.81136,0.71944
0.1,1.766,1.3056,-0.0042562,1.4223,0.85415,0.74382
0.1,1.809,1.2053,-0.0063543,1.4855,0.88357,0.83996
0.1,1.848,1.0846,-0.0041423,1.4892,0.88363,0.98618
0.1,1.8829,0.94634,-0.0013799,1.5718,0.87563,1.0353
0.1,1.9135,0.72249,-0.0042639,1.5477,0.8256,1.1467
0.1,1.9397,0.25235,-0.046881,1.5332,0.59682,0.96082
0.1,1.9613,0.00082741,-0.00013168,0.2991,0.10209,0.00029752
0.1,1.9781,0.00058017,-8.3929e-05,0.059139,0.04137,0.00052181
