x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0.064556,1.1433,8.1165e-21,0.00028865,0.19609,0.073361,0.1124,-0.0058653,0.00034158,-6.8943e-08
0,0.067361,1.1537,2.3596e-20,0.0002889,0.19336,0.074601,0.1126,-0.0058901,0.00034531,-2.7963e-07
0,0.070224,1.1636,-1.0419e-19,0.00028576,0.1907,0.075755,0.11275,-0.00591,0.00034526,-4.6063e-07
0,0.073143,1.1731,-2.2844e-20,0.00027943,0.18813,0.076825,0.11286,-0.0059254,0.0003415,-6.0403e-07
0,0.07612,1.1821,1.2679e-20,0.00027007,0.18564,0.077814,0.11294,-0.0059368,0.00033418,-7.1335e-07
0,0.079155,1.1907,5.6017e-20,0.00025779,0.18324,0.078726,0.11297,-0.0059446,0.00032338,-7.9918e-07
0,0.082245,1.199,-6.7522e-20,0.00024268,0.18094,0.079563,0.11297,-0.005949,0.00030911,-8.6972e-07
0,0.085393,1.207,2.2949e-20,0.0002249,0.17873,0.080329,0.11295,-0.0059503,0.00029148,-9.2647e-07
0,0.088597,1.2148,-3.2074e-20,0.00020476,0.17661,0.081026,0.11289,-0.005949,0.00027084,-9.6648e-07
0,0.091857,1.2222,3.9784e-20,0.00018272,0.17458,0.08166,0.11281,-0.0059452,0.00024773,-9.8376e-07
0,0.095173,1.2295,4.1983e-20,0.00015944,0.17265,0.082232,0.1127,-0.0059393,0.00022287,-9.6577e-07
0,0.098545,1.2365,6.5865e-20,0.00013574,0.1708,0.082746,0.11257,-0.0059315,0.00019709,-9.0031e-07
0,0.10197,1.2434,-3.9875e-20,0.00011245,0.16905,0.083205,0.11241,-0.0059219,0.00017121,-7.9046e-07
0,0.10546,1.2501,7.8379e-20,9.0115e-05,0.16737,0.083613,0.11224,-0.0059107,0.00014585,-6.5288e-07
0,0.10899,1.2566,-4.1064e-20,6.9054e-05,0.16579,0.083973,0.11205,-0.005898,0.00012143,-5.0455e-07
0,0.11259,1.263,7.1452e-20,4.9319e-05,0.16428,0.084288,0.11183,-0.005884,9.8115e-05,-3.6149e-07
0,0.11623,1.2692,-3.3279e-20,3.0638e-05,0.16284,0.08456,0.1116,-0.0058687,7.5747e-05,-2.4165e-07
0,0.11994,1.2753,-6.0015e-20,1.2507e-05,0.16148,0.084793,0.11134,-0.0058522,5.3875e-05,-1.5171e-07
0,0.12369,1.2814,9.1103e-20,-5.4394e-06,0.16019,0.084989,0.11107,-0.0058347,3.2158e-05,-7.5963e-08
0,0.1275,1.2873,-8.0457e-20,-2.3152e-05,0.15896,0.08515,0.11078,-0.0058161,1.0734e-05,1.3257e-08
0,0.13137,1.2931,2.831e-20,-4.0302e-05,0.15779,0.08528,0.11047,-0.0057967,-9.8899e-06,1.376e-07
0,0.13529,1.2989,2.5238e-20,-5.6655e-05,0.15668,0.08538,0.11014,-0.0057764,-2.9372e-05,2.9591e-07
0,0.13926,1.3045,5.686e-20,-7.2271e-05,0.15562,0.085452,0.10981,-0.0057554,-4.784e-05,4.6804e-07
0,0.14328,1.3101,3.2044e-20,-8.7285e-05,0.1546,0.0855,0.10946,-0.0057337,-6.5589e-05,6.4206e-07
0,0.14736,1.3157,-4.9994e-20,-0.00010165,0.15364,0.085524,0.10911,-0.0057113,-8.2714e-05,8.1472e-07
0,0.15149,1.3211,-5.7945e-20,-0.00011529,0.15271,0.085526,0.10875,-0.0056882,-9.9276e-05,9.7839e-07
0,0.15567,1.3265,-6.0233e-21,-0.00012834,0.15181,0.085507,0.10838,-0.0056645,-0.00011562,1.1241e-06
0,0.15991,1.3318,4.7042e-20,-0.00014111,0.15096,0.085469,0.10801,-0.0056401,-0.00013235,1.2532e-06
0,0.16419,1.3371,-2.7527e-20,-0.00015368,0.15013,0.085413,0.10763,-0.005615,-0.00014966,1.3805e-06
0,0.16853,1.3423,-3.1141e-20,-0.00016566,0.14932,0.08534,0.10724,-0.0055894,-0.00016708,1.517e-06
0,0.17292,1.3475,9.2699e-20,-0.00017657,0.14854,0.085252,0.10685,-0.0055631,-0.00018394,1.6603e-06
0,0.17736,1.3526,-6.0474e-20,-0.00018622,0.14779,0.08515,0.10645,-0.0055364,-0.00019997,1.7959e-06
0,0.18185,1.3576,-9.2639e-20,-0.00019483,0.14705,0.085034,0.10605,-0.0055092,-0.00021524,1.9028e-06
0,0.18639,1.3626,-2.5539e-20,-0.00020268,0.14633,0.084906,0.10564,-0.0054816,-0.00022989,1.9747e-06
0,0.19098,1.3676,-1.03e-20,-0.00020996,0.14564,0.084767,0.10522,-0.0054535,-0.00024378,2.0297e-06
0,0.19562,1.3725,3.7164e-20,-0.00021673,0.14495,0.084617,0.1048,-0.0054249,-0.00025672,2.0765e-06
0,0.20032,1.3774,1.6028e-19,-0.00022299,0.14429,0.084457,0.10437,-0.0053958,-0.0002687,2.105e-06
0,0.20506,1.3823,-5.409e-20,-0.00022849,0.14364,0.084287,0.10393,-0.0053662,-0.00027957,2.1217e-06
0,0.20984,1.3871,-3.3189e-20,-0.00023253,0.143,0.08411,0.10349,-0.0053361,-0.00028869,2.1565e-06
0,0.21468,1.3919,9.2248e-20,-0.00023409,0.14238,0.083924,0.10305,-0.0053055,-0.00029486,2.2475e-06
0,0.21957,1.3966,8.2731e-20,-0.00023219,0.14176,0.083731,0.10259,-0.0052746,-0.00029676,2.4007e-06
0,0.2245,1.4013,-5.5565e-20,-0.00022645,0.14116,0.083531,0.10214,-0.0052433,-0.0002937,2.5667e-06
0,0.22949,1.406,8.5712e-20,-0.00021734,0.14056,0.083325,0.10168,-0.0052117,-0.0002861,2.6877e-06
0,0.23452,1.4106,1.8672e-19,-0.00020573,0.13997,0.083113,0.10123,-0.0051797,-0.00027501,2.7443e-06
0,0.23959,1.4152,1.0338e-19,-0.00019259,0.13938,0.082895,0.10077,-0.0051473,-0.00026173,2.7477e-06
0,0.24472,1.4197,5.8667e-20,-0.00017873,0.1388,0.082671,0.10032,-0.0051145,-0.00024735,2.7211e-06
0,0.24989,1.4243,-1.2372e-19,-0.00016455,0.13821,0.082443,0.099873,-0.0050812,-0.00023238,2.6853e-06
0,0.25511,1.4288,-9.5207e-20,-0.00015027,0.13762,0.082211,0.099424,-0.0050475,-0.00021698,2.6322e-06
0,0.26037,1.4332,3.5733e-20,-0.00013634,0.13703,0.081976,0.098975,-0.0050133,-0.00020162,2.5373e-06
0,0.26568,1.4377,-1.4773e-19,-0.00012323,0.13644,0.081739,0.098525,-0.0049786,-0.00018685,2.4093e-06
0,0.27103,1.4421,-2.4948e-20,-0.00011107,0.13584,0.081499,0.098074,-0.0049436,-0.00017277,2.2749e-06
0,0.27643,1.4465,6.3631e-20,-9.9861e-05,0.13523,0.081257,0.097623,-0.0049081,-0.00015923,2.1443e-06
0,0.28187,1.4508,-7.2709e-20,-8.9539e-05,0.13463,0.081012,0.097173,-0.0048723,-0.0001461,2.0204e-06
0,0.28736,1.4552,-6.585e-20,-8.0128e-05,0.13402,0.080764,0.096722,-0.0048362,-0.00013344,1.9015e-06
0,0.29289,1.4595,1.4379e-19,-7.1529e-05,0.13342,0.080511,0.096273,-0.0047997,-0.00012124,1.7853e-06
0,0.29847,1.4638,-4.6914e-20,-6.3513e-05,0.13281,0.080255,0.095823,-0.0047629,-0.00010922,1.6619e-06
0,0.30409,1.4681,-8.8641e-20,-5.6104e-05,0.13221,0.079994,0.095372,-0.0047258,-9.744e-05,1.5101e-06
0,0.30975,1.4723,1.4124e-19,-4.9489e-05,0.1316,0.079729,0.09492,-0.0046884,-8.6166e-05,1.324e-06
0,0.31545,1.4766,3.6035e-20,-4.3887e-05,0.131,0.079461,0.094466,-0.0046507,-7.5695e-05,1.1129e-06
0,0.3212,1.4808,-1.0499e-19,-3.9352e-05,0.13039,0.079189,0.094009,-0.0046126,-6.6064e-05,9.0944e-07
0,0.32699,1.485,4.6158e-20,-3.5707e-05,0.12978,0.078913,0.093551,-0.0045742,-5.6953e-05,7.4029e-07
