x,y,U,V,urms,vrms,uv
0.3,1.809,1.1976,0.0054056,1.5436,0.89409,1.0692
0.3,1.8829,0.95373,0.032419,1.5574,0.88153,0.96189
0.3,1.9397,0.35776,0.042823,1.54,0.83082,1.1798
0.3,1.9781,-0.0013318,-0.00029297,0.11931,0.089137,0.0052335
0.3,1.9976,-0.00082413,-1.3968e-05,0.069471,0.0043198,0.00018233
0.4,0,2.5502e-15,4.3517e-18,2.1405e-13,7.943e-16,-5.5475e-30
0.4,0.0097319,-0.00039439,2.5314e-05,0.089762,0.032561,0.0010645
0.4,0.038738,0.10332,0.0022769,0.93904,0.51566,-0.40686
0.4,0.086455,0.6842,0.026779,1.7072,0.87601,-1.2715
0.4,0.15195,1.055,0.0050292,1.5869,0.87411,-0.96411
0.4,0.23396,1.281,0.00037996,1.4969,0.85287,-0.9798
0.4,0.33087,1.435,-0.0030479,1.3844,0.79752,-0.83189
0.4,0.44081,1.5723,-0.0055302,1.2669,0.79796,-0.75417
0.4,0.56163,1.7018,-0.0025691,1.0849,0.73096,-0.51001
0.4,0.69098,1.821,-0.0019121,0.94964,0.65356,-0.41094
0.4,0.82635,1.9156,-0.0010916,0.75501,0.58438,-0.2191
0.4,0.9651,1.96,-0.00011029,0.66705,0.52736,-0.049806
0.4,1.1045,1.9456,0.00056298,0.704,0.52633,0.11858
0.4,1.2419,1.8765,0.0004547,0.81908,0.59368,0.29663
0.4,1.3746,1.7717,-0.0019909,0.99873,0.696,0.43959
0.4,1.5,1.6456,-0.0026593,1.1539,0.77022,0.61836
0.4,1.6157,1.5071,-0.0031608,1.3145,0.80202,0.74049
0.4,1.7193,1.3743,0.0012854,1.421,0.82065,0.87053
0.4,1.809,1.1948,0.0020516,1.5665,0.87292,1.0093
0.4,1.8829,0.91154,0.014873,1.6331,0.8453,0.97701
0.4,1.9397,0.4659,0.012501,1.6247,0.84693,1.1882
0.4,1.9781,-0.00020665,-9.7492e-05,0.15517,0.13165,-0.0030204
0.4,1.9976,-0.00026467,1.1028e-06,0.069181,0.005954,-0.00012532
0.5,0,2.6032e-15,-8.6768e-18,2.1368e-13,8.1426e-16,1.4826e-30
0.5,0.0097319,-0.00010135,-0.00017123,0.066291,0.036134,-0.00022585
0.5,0.038738,0.040827,-0.022045,0.80255,0.35054,-0.19843
0.5,0.086455,0.70348,-0.057766,1.5378,0.94791,-1.1558
0.5,0.15195,1.0562,-0.012154,1.6527,0.85368,-1.2097
0.5,0.23396,1.2853,-0.0029269,1.497,0.86646,-0.97687
0.5,0.33087,1.4403,-0.0029111,1.3909,0.81122,-0.81932
0.5,0.44081,1.5746,-0.0040302,1.2496,0.77709,-0.73696
0.5,0.56163,1.6992,-0.0039301,1.0869,0.72071,-0.59837
0.5,0.69098,1.8199,0.0031877,0.93777,0.64739,-0.41146
