x,y,U,V,urms,vrms,uv
0.025,0.86083,1.9331,0.0015583,0.11972,0.09306,0.002655
0.025,0.89547,1.9465,0.00046439,0.11377,0.093045,0.0019117
0.025,0.93024,1.9567,-2.0619e-05,0.10976,0.091681,0.0014378
0.025,0.9651,1.9649,-0.00025046,0.10723,0.092756,0.0010058
0.025,1,1.9676,0,0.10661,0.094373,0
0.05,0,2.6406e-15,7.185e-18,3.5684e-14,1.2938e-16,3.9952e-32
0.05,0.00060917,3.2637e-05,-3.5192e-07,0.002286,4.2142e-05,1.2606e-09
0.05,0.0024359,8.5505e-05,-1.7801e-06,0.0058917,0.0005024,6.057e-08
0.05,0.0054781,0.00011792,-1.0675e-05,0.007571,0.0017138,4.0459e-07
0.05,0.0097319,0.00010864,-1.0706e-05,0.0080209,0.0036648,1.5318e-06
0.05,0.015192,7.7635e-05,-4.0187e-05,0.0084655,0.0063946,6.5387e-06
0.05,0.021852,2.5792e-05,-2.515e-05,0.0099569,0.010354,2.5741e-05
0.05,0.029704,-0.00013502,-0.00026347,0.015917,0.016707,7.3506e-05
0.05,0.038738,0.0031937,0.0036878,0.05099,0.053107,0.0001011
0.05,0.048943,0.073231,0.032805,0.14729,0.085418,0.0032363
0.05,0.060307,0.29969,-0.0071214,0.20819,0.11334,0.01277
0.05,0.072816,0.50959,0.0018294,0.23841,0.13453,0.017521
0.05,0.086455,0.67761,0.0063851,0.2616,0.13981,0.019192
0.05,0.10121,0.82466,0.0056017,0.26607,0.14769,0.01769
0.05,0.11705,0.93222,0.0045237,0.2576,0.15105,0.018302
0.05,0.13397,1.009,0.00036471,0.25108,0.15165,0.018943
0.05,0.15195,1.0765,-0.0023479,0.25453,0.14878,0.018435
0.05,0.17096,1.1441,-0.003628,0.25312,0.14812,0.017114
0.05,0.19098,1.2023,-0.003742,0.24954,0.14644,0.015372
0.05,0.21199,1.2522,-0.0039833,0.24791,0.14477,0.014685
0.05,0.23396,1.2941,-0.0027611,0.23781,0.14226,0.014119
0.05,0.25686,1.3372,-0.0014472,0.23091,0.14172,0.013316
0.05,0.28066,1.3734,5.6076e-05,0.23151,0.14119,0.013134
0.05,0.30534,1.4122,-0.00032666,0.22992,0.13859,0.013167
0.05,0.33087,1.4433,-0.0030342,0.2279,0.13744,0.013081
0.05,0.35721,1.4756,-0.0045749,0.22522,0.13507,0.012685
0.05,0.38434,1.5124,-0.0028167,0.22142,0.13334,0.012616
0.05,0.41221,1.5487,-0.0027315,0.21485,0.13339,0.012141
0.05,0.44081,1.5814,-0.0029521,0.21085,0.13209,0.01132
0.05,0.47008,1.6133,-0.00036542,0.20429,0.12686,0.010182
0.05,0.5,1.6428,0.0025917,0.19839,0.12541,0.0099056
0.05,0.53053,1.677,0.0031624,0.18961,0.121,0.0091811
